,Date,Location,Series_Complete_Pop_Pct,Administered_Dose1_Pop_Pct
359,12/05/2021,RI,73.5,84.1
360,12/05/2021,MP,70.9,78.6
361,12/05/2021,IA,57.2,63.0
362,12/05/2021,NY,69.1,79.3
363,12/05/2021,SD,55.2,67.9
364,12/05/2021,IN,50.9,56.2
365,12/05/2021,PR,74.5,85.6
366,12/05/2021,NE,57.9,64.5
367,12/05/2021,AR,49.8,61.0
368,12/05/2021,NV,54.9,67.0
369,12/05/2021,AK,54.7,63.4
370,12/05/2021,AZ,55.2,65.0
371,12/05/2021,AL,46.5,57.1
372,12/05/2021,MI,55.2,61.8
373,12/05/2021,IH2,38.1,47.7
374,12/05/2021,NJ,68.5,80.0
375,12/05/2021,WV,49.1,69.3
376,12/05/2021,BP2,0.0,0.0
377,12/05/2021,IL,62.2,69.7
378,12/05/2021,NH,65.1,89.3
379,12/05/2021,WY,46.0,54.2
380,12/05/2021,KY,52.7,60.8
381,12/05/2021,VA,65.7,76.3
382,12/05/2021,VA2,0.0,0.0
383,12/05/2021,US,59.9,71.0
384,12/04/2021,HI,61.5,82.6
385,12/04/2021,OR,64.4,71.9
386,12/04/2021,AR,49.6,60.8
387,12/04/2021,PA,59.0,82.4
388,12/04/2021,IN,50.8,56.1
389,12/04/2021,AZ,55.1,64.8
390,12/04/2021,OH,53.5,58.8
391,12/04/2021,WV,49.1,69.3
392,12/04/2021,KY,52.6,60.7
393,12/04/2021,TX,55.1,64.5
394,12/04/2021,PR,74.5,85.6
395,12/04/2021,MS,47.1,54.1
396,12/04/2021,US,59.8,70.9
397,12/04/2021,NE,57.9,64.5
398,12/04/2021,MP,70.9,78.6
399,12/04/2021,NH,65.1,89.1
400,12/04/2021,DD2,0.0,0.0
401,12/04/2021,VA,65.6,76.1
402,12/04/2021,IA,57.2,63.0
403,12/04/2021,CO,63.6,71.9
404,12/04/2021,NY,68.9,79.1
405,12/04/2021,BP2,0.0,0.0
406,12/04/2021,AS,66.5,78.2
407,12/04/2021,CT,72.4,84.7
408,12/04/2021,VA2,0.0,0.0
409,12/04/2021,DC,65.1,82.5
410,12/04/2021,TN,49.8,57.2
411,12/04/2021,VI,49.3,57.3
412,12/04/2021,DE,61.9,73.5
413,12/04/2021,CA,63.7,79.5
414,12/04/2021,MO,51.4,60.3
415,12/04/2021,GU,73.7,81.3
416,12/04/2021,MH,28.3,32.0
417,12/04/2021,UT,55.9,65.1
418,12/04/2021,GA,49.4,59.4
419,12/04/2021,MN,63.1,69.5
420,12/04/2021,ME,72.9,82.6
421,12/04/2021,MD,68.2,77.5
422,12/04/2021,SC,51.7,60.7
423,12/04/2021,VT,73.5,86.1
424,12/04/2021,MI,55.0,61.6
425,12/04/2021,NJ,68.3,79.9
426,12/04/2021,OK,52.0,63.5
427,12/04/2021,RP,73.7,85.4
428,12/04/2021,AK,54.7,63.4
429,12/04/2021,IL,62.0,69.5
430,12/04/2021,SD,55.2,67.8
431,12/04/2021,NC,54.7,71.3
